"Timestamp","Vilken åldersgrupp tillhör du?","Är du prenumerant hos DN?","Hur troligt är det att du tecknar paketet?","","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?"
"2021/03/22 10:30:27 am CET","Över 65 år","Ja (papperstidning)","5","","4","3","3","4","3","4","3"
"2021/03/22 10:31:23 am CET","40-65 år","Ja (enbart digitalt)","5","artikeltillgång samt extra konton","2","3","3","3","2","2","3"
"2021/03/22 10:32:07 am CET","40-65 år","Ja (papperstidning)","4","Bra omfattning","3","3","4","4","2","3","4"
"2021/03/22 10:32:12 am CET","40-65 år","Ja (enbart digitalt)","4","tillgången till det mesta","3","2","4","5","3","2","4"
"2021/03/22 10:32:27 am CET","40-65 år","Ja (enbart digitalt)","2","","1","1","2","2","1","1","1"
"2021/03/22 10:32:40 am CET","30-39 år","Ja (enbart digitalt)","4","Lagom pris i förhållande till utbud.","1","1","4","4","2","1","2"
"2021/03/22 10:33:27 am CET","40-65 år","Ja (enbart digitalt)","3","Vet inte. Min inkomst är osäker. Ibland har jag inte råd med prenumeration alls.","1","1","3","3","1","1","1"
"2021/03/22 10:33:38 am CET","Under 30 år","Ja (enbart digitalt)","1","Priset motsvarar inte värdet","1","1","1","1","1","1","1"
"2021/03/22 10:33:59 am CET","Över 65 år","Ja (papperstidning)","3","Lätt att förstora texten.","1","1","4","3","3","1","3"
"2021/03/22 10:34:32 am CET","40-65 år","Ja (enbart digitalt)","3","Det är intressant med 3 extra konton. Finns det nu? JAg är ej intresserad av korsord däremot vill jag ännu mera poddar och den typen av metarial. DN är sällan först med nyheterna. Skulle önska tidningen var lite snabbare ibland ","1","1","3","5","2","1","2"
"2021/03/22 10:35:31 am CET","40-65 år","Ja (enbart digitalt)","5","Tror jag har bas idag ","1","1","3","3","1","1","1"
"2021/03/22 10:35:40 am CET","Under 30 år","Ja (enbart digitalt)","4","Får tillgång till att läsa allt jag vill och behöver.","1","1","5","5","3","1","2"
"2021/03/22 10:36:22 am CET","Över 65 år","Nej och har aldrig varit","1","Ekonomi","1","1","1","1","1","1","1"
"2021/03/22 10:36:31 am CET","40-65 år","Ja (enbart digitalt)","4","Inte intresserad av korsord eller rabatter. Men skulle ta paketet ifall det inte finns ett alternativ utan dessa.","1","2","2","3","2","2","3"
"2021/03/22 10:37:10 am CET","40-65 år","Ja (enbart digitalt)","1","Jag bor ensam i mitt hus och det räcker därför med ett abbonemang.","1","1","1","1","1","1","1"
"2021/03/22 10:37:25 am CET","40-65 år","Ja (enbart digitalt)","4","","1","1","4","4","2","1","1"
"2021/03/22 10:37:52 am CET","40-65 år","Ja (enbart digitalt)","5","Billig tillgång till nyheter","2","3","5","4","4","2","4"
"2021/03/22 10:38:57 am CET","40-65 år","Ja (enbart digitalt)","4","Om det kallas Bas, antar jag att det inte finns något mindre, och därför skulle jag välja detta (även om jag struntar i rabatter, korsord och nyhetsarkiv)","1","1","5","4","2","1","3"
"2021/03/22 10:39:40 am CET","Över 65 år","Ja (enbart digitalt)","2","DN har inte motsvarat mina förväntningar den senaste tiden. Gäller framförallt tidningens märkliga innehåll vad gäller Pandemin.","1","1","2","2","1","1","1"
"2021/03/22 10:39:45 am CET","40-65 år","Ja (enbart digitalt)","3","119 inkl. E-tidning skulle jag mer än gärna betala. ","1","1","5","3","1","1","1"
"2021/03/22 10:39:54 am CET","40-65 år","Ja (enbart digitalt)","5","Jag läser DN flera gånger per dag. I mitt arbete som lärare har vi tillgång till DN. Vi använder tidingen i undervisningen.","2","2","5","5","2","2","2"
"2021/03/22 10:41:13 am CET","40-65 år","Ja (enbart digitalt)","4","Okej pris, kunde vara något lägre. Bra med flera konton. Matchar mitt behov, bara intresserad av att läsa artiklar, behöver inga ”kringtjänster”.","1","1","4","4","1","1","1"
"2021/03/22 10:41:23 am CET","Över 65 år","Ja (papperstidning)","4","Inte road av digitala korsord ,vad menas med extra konton ?","2","2","4","4","2","2","2"
"2021/03/22 10:43:06 am CET","40-65 år","Nej, men har varit förut","1","Sossetidning","1","1","1","1","1","1","1"
"2021/03/22 10:43:08 am CET","Över 65 år","Ja (papperstidning)","1","Jag föredrar papperstidning men för nya, för dagen och stunden inkomna nyheter är det bra med det digitala förstås","1","1","1","1","1","1","1"
"2021/03/22 10:43:55 am CET","30-39 år","Ja (enbart digitalt)","5","Det är tydlig vad det kostar och hur många som kan vara inloggade samtidigt.","1","1","5","5","1","1","1"
"2021/03/22 10:45:40 am CET","30-39 år","Ja (papperstidning)","4","","1","1","1","4","1","1","1"
"2021/03/22 10:46:28 am CET","40-65 år","Ja (enbart digitalt)","4","Duger hyfsat men vill ha tidningen som pdf","2","5","5","3","5","4","2"
"2021/03/22 10:47:42 am CET","40-65 år","Ja (enbart digitalt)","1","När mina gratis/väldigt billiga prenumerationer tar slut saknar jag dom lite, men kan inte motivera dom pengarna. Förstår att det inte är gratis att producera, men all jäkla reklam gör mig galen! Den har direkt motsatt syfte, jag kommer ALDRIG att klicka vidare på annonserna.","1","1","1","1","1","1","1"
"2021/03/22 10:48:10 am CET","40-65 år","Ja (papperstidning)","4","","4","4","3","3","3","4","4"
"2021/03/22 10:48:26 am CET","40-65 år","Ja (enbart digitalt)","3","Vet inte vad som skiljer mot det paket jag har idag. Det största problemet är att via I-PAd som jag och hustrun använder så låser sig nedladdningen efter ca 5-8 artiklar, sen måste man byta browser och till sist starta om. Oerhört irriterande. När detta skedde första gågnen för kanske 5-6 år sen fösrsökte nån på DN hjälpa mig, nu går det inte att komma fram till någon som bryr sig. Bottendåligt DN! hälsar Johan och Karin Ahlgren Gävle, DN_prenumeranter sen 1983.","4","2","1","1","3","3","4"
"2021/03/22 10:48:36 am CET","40-65 år","Ja (enbart digitalt)","1","För dyrt","1","1","1","1","1","1","1"
"2021/03/22 10:48:59 am CET","Över 65 år","Ja (enbart digitalt)","5","Mycket för pengarna","3","2","4","5","4","3","3"
"2021/03/22 10:49:08 am CET","40-65 år","Ja (enbart digitalt)","4","","1","1","1","5","1","1","1"
