"Timestamp","Vilken.åldersgrupp.tillhör.du.","Är.du.prenumerant.hos.DN.","Hur.troligt.är.det.att.du.tecknar.paketet.","Hur.troligt.är.det.att.du.tecknar.paketet..1","Hur.troligt.är.det.att.du.tecknar.paketet..2","Hur.troligt.är.det.att.du.tecknar.paketet..3","Hur.troligt.är.det.att.du.tecknar.paketet..4","Hur.troligt.är.det.att.du.tecknar.paketet..5","Hur.troligt.är.det.att.du.tecknar.paketet..6","Hur.troligt.är.det.att.du.tecknar.paketet..7"
"2021/03/22 10:30:27 am CET","Över 65 år","Ja (papperstidning)",5,4,3,3,4,3,4,3
"2021/03/22 10:31:23 am CET","40-65 år","Ja (enbart digitalt)",5,2,3,3,3,2,2,3
"2021/03/22 10:32:07 am CET","40-65 år","Ja (papperstidning)",4,3,3,4,4,2,3,4
"2021/03/22 10:32:12 am CET","40-65 år","Ja (enbart digitalt)",4,3,2,4,5,3,2,4
"2021/03/22 10:32:27 am CET","40-65 år","Ja (enbart digitalt)",2,1,1,2,2,1,1,1
"2021/03/22 10:32:40 am CET","30-39 år","Ja (enbart digitalt)",4,1,1,4,4,2,1,2
"2021/03/22 10:33:27 am CET","40-65 år","Ja (enbart digitalt)",3,1,1,3,3,1,1,1
"2021/03/22 10:33:38 am CET","Under 30 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 10:33:59 am CET","Över 65 år","Ja (papperstidning)",3,1,1,4,3,3,1,3
"2021/03/22 10:34:32 am CET","40-65 år","Ja (enbart digitalt)",3,1,1,3,5,2,1,2
"2021/03/22 10:35:31 am CET","40-65 år","Ja (enbart digitalt)",5,1,1,3,3,1,1,1
"2021/03/22 10:35:40 am CET","Under 30 år","Ja (enbart digitalt)",4,1,1,5,5,3,1,2
"2021/03/22 10:36:22 am CET","Över 65 år","Nej och har aldrig varit",1,1,1,1,1,1,1,1
"2021/03/22 10:36:31 am CET","40-65 år","Ja (enbart digitalt)",4,1,2,2,3,2,2,3
"2021/03/22 10:37:10 am CET","40-65 år","Ja (enbart digitalt)",1,1,1,1,1,1,1,1
"2021/03/22 10:37:25 am CET","40-65 år","Ja (enbart digitalt)",4,1,1,4,4,2,1,1
"2021/03/22 10:37:52 am CET","40-65 år","Ja (enbart digitalt)",5,2,3,5,4,4,2,4
"2021/03/22 10:38:57 am CET","40-65 år","Ja (enbart digitalt)",4,1,1,5,4,2,1,3
"2021/03/22 10:39:40 am CET","Över 65 år","Ja (enbart digitalt)",2,1,1,2,2,1,1,1
"2021/03/22 10:39:45 am CET","40-65 år","Ja (enbart digitalt)",3,1,1,5,3,1,1,1
"2021/03/22 10:39:54 am CET","40-65 år","Ja (enbart digitalt)",5,2,2,5,5,2,2,2
"2021/03/22 10:41:13 am CET","40-65 år","Ja (enbart digitalt)",4,1,1,4,4,1,1,1
"2021/03/22 10:41:23 am CET","Över 65 år","Ja (papperstidning)",4,2,2,4,4,2,2,2
"2021/03/22 10:43:06 am CET","40-65 år","Nej, men har varit förut",1,1,1,1,1,1,1,1
"2021/03/22 10:43:08 am CET","Över 65 år","Ja (papperstidning)",1,1,1,1,1,1,1,1
"2021/03/22 10:43:55 am CET","30-39 år","Ja (enbart digitalt)",5,1,1,5,5,1,1,1
"2021/03/22 10:45:40 am CET","30-39 år","Ja (papperstidning)",4,1,1,1,4,1,1,1
"2021/03/22 10:46:28 am CET","40-65 år","Ja (enbart digitalt)",4,2,5,5,3,5,4,2
